Cycle pX oX mX
0 1.6647 1.7097 1.1248
500 1.5297 1.7097 1.3497
1000 1.4397 2.0246 1.1698
1500 1.5297 1.8896 1.1698
2000 1.5297 1.8446 1.2597
2500 1.2148 1.7547 1.5747
3000 1.3947 1.7547 1.3947
3500 1.3047 1.7996 1.4847
4000 1.2597 1.7996 1.5747
4500 0.9898 1.9346 1.6647
5000 1.1248 1.8446 1.6197
5500 1.1698 2.0696 1.3497
6000 1.2148 1.9346 1.5297
6500 1.4847 1.7097 1.3497
7000 1.1248 1.8896 1.5297
7500 1.3497 1.5747 1.6647
8000 1.2597 1.3947 1.8896
8500 1.3497 1.4397 1.7996
9000 1.7996 1.4847 1.3047
9500 1.6197 1.5297 1.4847
10000 1.2148 1.7996 1.6647
10500 1.5747 1.6197 1.4397
11000 1.3047 1.8896 1.4397
11500 1.5297 2.0246 1.0798
12000 1.3947226506 1.9346152895 1.3047405441
12500 1.7096600233 1.7546510765 1.1247763311
13000 1.4397137038 1.7546510765 1.3947226506
13500 1.1247763311 1.9346152895 1.5296958103
14000 1.4397137038 1.7996421298 1.3497315973
14500 1.5746868636 1.6646689700 1.3947226506
15000 1.6196779168 1.5746868636 1.4397137038
15500 1.6196779168 1.7096600233 1.3497315973
16000 1.7096600233 1.7546510765 1.2147584376
16500 1.6646689700 1.5746868636 1.4847047571
17000 1.5746868636 1.6646689700 1.4847047571
17500 1.7996421298 1.6196779168 1.3047405441
18000 1.2597494908 1.6646689700 1.7546510765
18500 1.5296958103 1.8446331830 1.2147584376
19000 1.3497315973 2.0245973960 1.2597494908
19500 1.3947226506 1.6646689700 1.5746868636
20000 1.3047405441 1.5746868636 1.7996421298
20500 1.5746868636 1.8896242363 1.2597494908
21000 1.5746868636 2.0695884492 1.0797852779
21500 1.3947226506 1.9796063428 1.3947226506
